Customer ID,TotalSpent,TotalOrders
13031,3292.84,407
13032,2815.96,207
13033,220.55,13
13034,756.82,44
13035,1364.2,42
13036,307.1,6
13037,3914.9500000000003,232
13038,908.46,28
13039,1010.73,55
13040,676.99,43
13041,799.13,35
13042,1488.59,184
13043,516.42,13
13044,4848.05,416
13045,808.92,45
13046,949.25,56
13047,8428.53,378
13048,4049.13,265
13049,1408.24,26
13050,11986.52,984
13051,155.8,4
13052,3119.33,248
13053,127.65,17
13055,2321.11,154
13056,209.48,19
13057,709.59,40
13058,271.40000000000003,8
13059,2291.77,198
13060,307.53,15
13061,248.61,10
13062,346.98,11
13063,188.4,12
13064,1666.8400000000001,93
13065,1055.05,62
13066,470.8,48
13067,508.51,32
13068,344.0,2
13069,9284.45,1038
13070,751.7,33
13071,129.22,12
13072,177.15,7
13073,418.08,27
13074,1378.74,29
13075,919.61,22
13076,135.4,9
13077,2740.65,330
13078,29018.06,791
13079,419.18,17
13080,280.73,19
13081,56838.37,2280
13082,7335.75,129
13083,395.43,22
13084,122.39999999999999,2
13085,2433.28,84
13086,439.33000000000004,47
13087,313.64,15
13088,236.11,20
13089,113416.91,3315
13090,13091.74,274
13091,2321.82,45
13092,2140.28,105
13093,54144.25,1037
13094,2209.44,29
13095,74.39999999999999,6
13096,419.70000000000005,1
13097,13324.1,1004
13098,28882.44,572
13099,207.35999999999999,1
13101,695.4,51
13102,11380.1,481
13103,709.64,33
13104,1709.1,30
13105,72.0,1
13106,603.46,16
13107,5253.07,178
13108,748.46,35
13109,1134.03,70
13110,2957.4700000000003,252
13111,321.88000000000005,12
13112,20.6,2
13113,18230.07,377
13114,234.38,16
13115,5494.7,314
13116,501.14,30
13117,2255.66,162
13118,2415.41,148
13119,134.9,11
13120,30.599999999999998,1
13121,283.73,50
13122,922.39,55
13123,506.75,45
13124,4641.66,283
13125,148.62,20
13126,3774.81,238
13127,259.17,15
13128,263.5,1
13129,233.25,11
13130,64.0,2
13131,3313.77,149
13132,77.3,3
13133,200.45000000000002,12
13134,2475.23,121
13135,3371.45,18
13136,6274.56,315
13137,7586.94,1394
13138,1274.01,85
13139,8202.98,265
13140,1054.92,105
13141,7656.08,424
13142,307.09,23
13143,405.1,23
13144,135.35,6
13145,1128.52,9
13146,228.91,17
13147,712.8000000000001,4
13148,8497.82,763
13149,1676.06,86
13150,449.96999999999997,8
13151,2465.21,158
13152,2146.38,135
13153,486.22,15
13154,1624.84,93
13155,1370.48,112
13156,1586.54,104
13157,5687.36,251
13158,1508.18,100
13159,1429.35,120
13160,91.8,4
13161,472.13,33
13162,9275.49,238
13163,17.65,2
13164,372.2,10
13165,1451.16,49
13166,875.93,68
13167,1125.15,81
13168,1840.73,173
13169,840.08,18
13170,108.81,30
13171,468.41,46
13172,69.6,1
13173,2399.82,216
13174,7995.36,938
13175,831.45,46
13176,481.49,67
13177,512.2,30
13178,14059.19,687
13179,572.3100000000001,34
13180,86.10000000000001,4
13181,359.69,19
13182,121.18,11
13183,7036.18,156
13184,1668.95,179
13185,71.4,1
13186,1575.89,79
13187,341.36,56
13188,114.60000000000001,2
13189,260.68,29
13190,570.66,17
13191,164.69,59
13192,2558.58,162
13193,112.08,25
13194,472.78,10
13195,136.73,46
13196,3068.84,188
13197,373.01000000000005,19
13198,4974.2300000000005,314
13199,15964.210000000001,203
13200,870.09,46
13201,1233.06,86
13202,1580.3,69
13203,2648.25,169
13204,966.6600000000001,57
13205,2803.2,1
13206,8308.19,566
13207,535.86,13
13208,1976.3,252
13209,8509.51,366
13210,353.48,22
13211,2618.77,201
13212,786.83,141
13213,3851.52,204
13214,3264.23,229
13215,81.6,1
13216,333.74,5
13217,666.48,5
13218,62.63999999999999,5
13219,76.23,11
13220,1336.0900000000001,53
13221,847.41,66
13222,88.5,1
13223,969.1200000000001,13
13224,2155.95,108
13225,16260.07,125
13226,312.46,28
13227,257.7,9
13228,358.0,2
13229,160.95,10
13230,6120.01,1251
13232,1328.35,202
13233,1176.46,76
13234,346.5,61
13235,1031.07,58
13236,744.85,36
13237,643.0,24
13238,1006.63,47
13239,1594.69,93
13240,1475.79,201
13241,112.53,40
13242,699.4,35
13243,1220.38,205
13244,121.74000000000001,27
13245,989.22,45
13246,3351.75,371
13247,501.12,25
13248,465.68,26
13249,1608.93,35
13250,253.09,19
13251,252.68,25
13252,399.3,19
13253,2951.11,75
13254,51.410000000000004,4
13255,678.76,26
13257,149.75,7
13258,1009.43,44
13259,1402.54,313
13260,557.62,8
13261,944.1,9
13262,573.45,50
13263,8676.2,1905
13264,722.5600000000001,38
13265,2092.66,90
13266,6135.04,307
13267,9429.81,411
13268,3174.75,433
13269,8537.32,486
13270,590.0,1
13271,211.49,87
13272,276.56,15
13273,138.98,16
13274,360.85,19
13275,238.86,48
13276,1891.91,239
13277,523.3,23
13278,1435.85,108
13279,137.75,9
13280,2293.33,205
13281,350.85,22
13282,1313.19,51
13283,373.36,20
13284,201.19,13
13285,3364.59,231
13286,734.91,49
13287,781.59,53
13288,927.61,10
13289,307.95,16
13290,208.63,1
13291,3270.79,318
13292,994.51,59
13293,1192.94,72
13294,1689.53,102
13295,1101.97,67
13296,792.51,53
13297,4368.62,123
13298,360.0,2
13299,1218.7,62
13300,1285.51,55
13301,618.09,81
13302,159.2,3
13303,61.72,4
13304,1217.99,78
13305,3616.41,200
13306,53.65,4
13307,273.34,15
13308,1670.3700000000001,71
13309,1706.3700000000001,130
13310,1541.2,95
13311,598.57,26
13312,124.75,5
13313,3445.32,187
13314,775.94,62
13315,310.26,22
13316,12940.82,173
13317,6486.091,344
13318,640.76,20
13319,21323.22,923
13320,2211.6,149
13321,567.36,11
13322,199.48000000000002,25
13323,787.85,21
13324,10513.47,132
13325,675.3,12
13326,281.76,13
13327,9134.48,321
13328,1308.48,17
13329,4808.77,118
13330,2796.1,117
13331,262.4,12
13332,350.9,21
13333,1015.74,55
13334,6201.8,474
13336,795.12,51
13337,1575.26,87
13338,2445.62,128
13339,860.12,54
13340,22100.56,215
13341,775.85,42
13343,353.43,19
13344,2511.69,116
13345,389.5,20
13346,299.4,6
13347,341.36,8
13348,233.76,14
13349,247.32,16
13350,979.12,40
13351,373.94,16
13352,397.97999999999996,24
13354,743.53,51
13355,674.7,32
13356,768.24,42
13357,3805.5099999999998,394
13358,439.03,29
13359,1043.31,56
13360,1553.65,66
13361,1450.5,34
13362,5394.07,298
13363,1723.86,102
13364,134.95999999999998,10
13365,2225.37,128
13366,56.160000000000004,1
13367,510.20000000000005,20
13368,1121.5,52
13369,308.28000000000003,14
13370,754.87,39
13371,2297.66,92
13372,378.64,23
13373,7587.1900000000005,358
13374,422.8,17
13375,1792.23,71
13376,1019.76,53
13377,1552.88,78
13379,572.56,97
13380,62.4,3
13381,8224.37,356
13382,1387.58,86
13383,305.28000000000003,1
13384,6680.83,264
13385,534.57,35
13386,835.46,31
13387,186.94,71
13388,1185.65,69
13389,797.96,51
13390,544.08,13
13391,59.8,1
13392,91.14,8
13393,1131.45,69
13394,6621.7,409
13395,1180.23,81
13396,1360.99,43
13397,3191.87,89
13398,670.34,39
13399,275.4,15
13400,310.83,23
13402,1226.8500000000001,79
13403,229.5,9
13404,252.49,11
13405,1213.811,43
13406,568.92,9
13407,2244.7,85
13408,50174.782,826
13410,2201.96,50
13411,213.55,18
13412,487.34999999999997,34
13413,429.44,43
13414,2494.14,55
13415,784.17,101
13416,940.8000000000001,26
13417,1669.49,77
13418,11559.66,537
13419,221.06,16
13420,159.85,8
13421,4058.75,265
13422,2626.3,127
13423,217.03,12
13424,572.77,40
13425,3390.4300000000003,177
13426,8167.38,343
13427,1006.53,52
13428,478.54,138
13429,1006.8,67
13430,679.45,49
13431,3316.24,129
13432,439.1,111
13433,658.3199999999999,24
13434,1666.8600000000001,35
13435,4447.33,149
13436,196.89,12
13437,3408.06,167
13438,46.5,1
13439,986.61,167
13440,1295.25,59
13441,720.9,38
13442,419.87,38
13443,1273.16,200
13444,619.08,57
13445,241.89999999999998,7
13446,3881.89,192
13447,1129.14,59
13448,8745.93,533
13449,291.88,19
13450,4120.04,147
13451,7090.06,1022
13452,729.8,3
13453,781.6899999999999,40
13454,219.87,23
13455,2212.9900000000002,114
13456,1766.72,63
13457,148.22,9
13458,11959.27,485
13459,1160.4099999999999,73
13460,183.44,17
13461,4160.0,62
13462,1153.85,71
13464,3097.64,151
13465,931.12,34
13466,1013.35,55
13467,1071.91,98
13468,12793.28,693
13469,82.4,6
13470,165.0,10
13471,2501.84,254
13472,592.24,28
13473,2657.7599999999998,70
13474,646.59,126
13475,1431.78,86
13476,2061.4700000000003,106
13477,2819.17,157
13478,2215.78,125
13479,851.37,53
13480,627.82,41
13481,3830.84,224
13482,336.09,20
13483,140.34,10
13484,790.72,39
13485,3019.2200000000003,158
13486,1122.41,69
13487,846.87,49
13488,14205.96,679
13489,449.52,14
13490,154.25,8
13491,4467.66,261
13492,1269.84,50
13493,618.63,8
13494,316.26000000000005,18
13495,4863.31,133
13496,653.33,35
13497,1166.83,58
13498,327.38,17
13499,1159.11,42
13500,1466.3,85
13501,2885.11,114
13502,780.5,33
13503,1859.24,189
13504,295.93,22
13505,4393.63,215
13506,1338.08,81
13507,2479.16,162
13508,287.05,28
13509,1114.72,49
13510,4558.29,289
13511,282.76,5
13512,713.39,39
13513,824.59,40
13514,815.9000000000001,21
13515,1265.82,76
13516,1685.26,61
13517,2128.42,141
13518,627.16,36
13519,343.21,19
13520,6606.0,199
13521,1071.73,418
13522,125.80000000000001,5
13523,4534.57,201
13524,680.1800000000001,27
13525,628.78,6
13526,1182.0,44
13527,4541.29,443
13529,307.76,15
13530,402.97999999999996,18
13531,1433.07,75
13532,210.31,66
13533,269.09,75
13534,7720.9,392
13535,89.5,1
13536,3444.39,178
13537,717.85,42
13538,3103.13,142
13539,1569.3600000000001,86
13540,632.39,32
13541,785.25,10
13542,3959.4900000000002,331
13543,1439.6100000000001,47
13544,790.2,238
13545,364.93,54
13546,1086.24,152
13547,167.08,44
13548,901.44,184
13549,1005.8,59
13550,342.55,42
13551,244.2,5
13552,6948.92,207
13553,499.6,89
13554,1629.35,196
13555,8891.84,397
13556,200.82,9
13557,3032.26,180
13558,594.52,169
13559,990.0,2
13560,171.42000000000002,32
13561,1803.4,229
13562,4838.18,196
13563,777.53,49
13564,16498.97,1200
13565,414.8,60
13566,1688.6,366
13567,1079.29,201
13568,187.05,43
13569,726.54,179
13570,239.49,27
13571,4537.26,673
13572,1384.25,33
13573,904.52,87
13574,404.45,91
13575,732.0699999999999,46
13576,11202.59,268
13577,3489.28,168
13578,147.66,9
13579,1374.34,81
13580,107.75,5
13581,280.53000000000003,33
13582,241.68,11
13583,1445.031,96
13584,385.7,80
13585,684.54,39
13586,127.28,20
13587,1673.5,30
13588,2478.95,174
13589,1120.74,52
13590,6336.04,406
13591,2093.94,101
13592,247.95999999999998,16
13593,5493.29,408
13594,533.32,33
13595,784.48,143
13596,664.11,146
13597,396.71,17
13598,761.96,92
13599,9811.04,392
13600,518.42,41
13601,1159.99,185
13602,1025.17,58
13603,164.34,27
13604,717.62,21
13605,522.67,53
13606,276.75,40
13607,1075.81,121
13608,232.05,34
13609,167.35,7
13610,2103.71,399
13611,3297.9300000000003,226
13612,818.29,50
13613,1039.8500000000001,59
13614,2332.74,264
13615,6272.53,367
13616,283.85,35
13617,1278.75,107
13618,177.34,13
13619,224.94,45
13620,112.34,5
13621,213.85,19
13622,658.95,32
13623,2533.06,284
13624,462.08,22
13625,301.26,21
13626,707.04,44
13627,2245.9,129
13628,310.14,16
13629,13370.86,87
13630,2031.78,71
13631,3070.42,11
13632,3645.81,220
13634,5033.77,446
13635,2999.16,162
13636,949.12,63
13637,804.3,99
13638,122.64,8
13639,1346.27,59
13640,405.0,4
13641,1016.47,44
13642,472.2,105
13643,2156.77,102
13644,2624.26,146
13645,252.1,5
13646,326.25,58
13647,3041.68,139
13648,1764.02,106
13649,1453.68,108
13650,3288.0,172
13651,226.85,14
13652,2262.05,141
13653,152.2,9
13654,6308.0,329
13655,2280.51,119
13656,1078.85,87
13657,382.14,16
13658,6025.5,237
13659,4884.68,274
13660,306.64,40
13661,325.24,17
13662,2233.61,136
13663,2047.51,99
13665,1711.6599999999999,106
13666,127.89999999999999,19
13667,299.05,83
13668,12948.48,756
13669,413.55,14
13670,349.7,25
13671,172.6,64
13672,419.92,18
13673,387.44,60
13674,240.68,14
13675,486.82000000000005,25
13676,243.9,13
13677,551.24,106
13678,232.6,16
13679,281.26,50
13680,11419.67,646
13681,827.83,57
13682,59.5,3
13683,258.6,10
13684,594.88,108
13685,3119.44,39
13686,409.04,34
13687,11880.84,45
13688,375.5,5
13689,1259.5,9
13690,172.25,9
13691,212.78,54
13692,3114.4,96
13693,2011.82,106
13694,195640.69,1519
13695,2770.73,96
13696,2020.4,24
13697,151.29999999999998,12
13698,451.73,38
13699,764.15,37
13700,2596.9700000000003,240
13701,161.0,9
13702,135.18,5
13703,425.56,37
13704,2308.06,134
13705,1717.19,74
13706,631.17,38
13707,3365.86,155
13708,285.33,49
13709,7571.35,407
13710,509.52,15
13711,1792.26,92
13712,766.42,33
13713,740.76,80
13714,161.35,30
13715,8153.04,512
13716,138.28,21
13717,1763.3,124
13718,306.55,12
13719,2783.08,248
13720,799.9,43
13721,741.54,42
13722,5635.41,189
13723,1194.08,58
13724,213.01,42
13725,1980.56,104
13726,1079.6599999999999,42
13727,1074.15,83
13728,2855.17,164
13729,724.73,39
13730,752.6,43
13731,610.59,38
13732,491.86,33
13733,487.03000000000003,29
13734,6695.6900000000005,27
13735,9762.77,647
13736,2752.47,554
13737,339.59999999999997,30
13738,434.78000000000003,89
13739,292.2,6
13740,1582.77,94
13741,668.4300000000001,34
13742,3107.87,313
13743,1341.6,41
13744,1080.52,63
13745,777.36,56
13746,176.69,9
13747,169.79999999999998,5
13748,2064.35,58
13750,3602.1800000000003,75
13751,296.25,9
13752,1579.8300000000002,94
13753,2094.57,80
13754,447.05,21
13755,2108.06,321
13756,8655.95,343
13757,195.55,8
13758,8698.13,285
13759,659.4100000000001,25
13760,1363.6399999999999,119
13761,1952.17,122
13762,2472.48,35
13763,5217.4400000000005,50
13764,2919.62,370
13765,352.821,17
13766,190.35,17
13767,33903.57,764
13768,875.97,33
13769,5478.12,275
13770,785.37,48
13771,5728.82,216
13772,3100.02,567
13773,301.54,19
13774,345.0,22
